scenario,series,series_label,p,true_mtd,true_mtd_label,correct_pct,too_high_pct,too_low_pct,mean_acute_tox,mean_subacute_tox,ever_reached_top_pct,sel_L0_pct,sel_L1_pct,sel_L2_pct,sel_L3_pct,sel_L4_pct
Acute low,attribution,"Non-binary DLT (n full, y scaled)",0.0,4,L4 (5x8 Gy),79.60000000000001,0.0,20.4,2.946,3.813,90.2,0.0,0.0,1.3,19.1,79.60000000000001
Acute low,attribution,"Non-binary DLT (n full, y scaled)",0.05,4,L4 (5x8 Gy),76.9,0.0,23.1,2.923,3.601,87.9,0.0,0.0,1.7000000000000002,21.4,76.9
Acute low,attribution,"Non-binary DLT (n full, y scaled)",0.1,4,L4 (5x8 Gy),74.2,0.0,25.8,2.817,3.675,85.7,0.0,0.0,1.7999999999999998,24.0,74.2
Acute low,attribution,"Non-binary DLT (n full, y scaled)",0.25,4,L4 (5x8 Gy),69.39999999999999,0.0,30.6,2.702,3.522,80.30000000000001,0.0,0.0,3.9,26.700000000000003,69.39999999999999
Acute low,attribution,"Non-binary DLT (n full, y scaled)",0.5,4,L4 (5x8 Gy),47.7,0.0,52.3,2.345,2.953,59.0,0.0,0.0,7.000000000000001,45.3,47.7
Acute low,attribution,"Non-binary DLT (n full, y scaled)",1.0,4,L4 (5x8 Gy),18.3,0.0,81.69999999999999,1.819,2.35,22.6,0.0,0.2,20.6,60.9,18.3
Acute low,weight,Block discount (n and y scaled),0.0,4,L4 (5x8 Gy),72.7,0.0,27.3,2.749,3.637,84.5,0.0,0.0,4.2,23.1,72.7
Acute low,weight,Block discount (n and y scaled),0.05,4,L4 (5x8 Gy),72.3,0.0,27.700000000000003,2.699,3.523,82.5,0.0,0.0,5.1,22.6,72.3
Acute low,weight,Block discount (n and y scaled),0.1,4,L4 (5x8 Gy),68.30000000000001,0.0,31.7,2.637,3.396,80.2,0.0,0.1,5.1,26.5,68.30000000000001
Acute low,weight,Block discount (n and y scaled),0.25,4,L4 (5x8 Gy),55.60000000000001,0.0,44.4,2.498,3.108,68.4,0.0,0.2,6.9,37.3,55.60000000000001
Acute low,weight,Block discount (n and y scaled),0.5,4,L4 (5x8 Gy),42.5,0.0,57.49999999999999,2.204,2.821,50.4,0.0,0.0,10.4,47.1,42.5
Acute low,weight,Block discount (n and y scaled),1.0,4,L4 (5x8 Gy),16.900000000000002,0.0,83.1,1.845,2.285,21.8,0.0,0.0,20.6,62.5,16.900000000000002
Acute low,attribution_override,Non-binary DLT + escalation override,0.0,4,L4 (5x8 Gy),80.0,0.0,20.0,2.921,3.906,91.4,0.0,0.0,1.2,18.8,80.0
Acute low,attribution_override,Non-binary DLT + escalation override,0.05,4,L4 (5x8 Gy),81.10000000000001,0.0,18.9,2.859,3.801,91.7,0.0,0.0,1.3,17.599999999999998,81.10000000000001
Acute low,attribution_override,Non-binary DLT + escalation override,0.1,4,L4 (5x8 Gy),75.9,0.0,24.1,2.88,3.776,89.8,0.0,0.0,1.5,22.6,75.9
Acute low,attribution_override,Non-binary DLT + escalation override,0.25,4,L4 (5x8 Gy),71.6,0.0,28.4,2.713,3.606,85.9,0.0,0.0,1.6,26.8,71.6
Acute low,attribution_override,Non-binary DLT + escalation override,0.5,4,L4 (5x8 Gy),53.2,0.0,46.8,2.382,3.124,69.39999999999999,0.0,0.0,6.6000000000000005,40.2,53.2
Acute low,attribution_override,Non-binary DLT + escalation override,1.0,4,L4 (5x8 Gy),26.8,0.0,73.2,1.952,2.568,47.4,0.0,0.1,17.2,55.900000000000006,26.8
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",0.0,3,L3 (5x7 Gy),48.6,38.5,12.9,4.553,3.432,72.5,0.0,0.5,12.4,48.6,38.5
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",0.05,3,L3 (5x7 Gy),48.1,35.3,16.6,4.527,3.248,67.7,0.0,0.4,16.2,48.1,35.3
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",0.1,3,L3 (5x7 Gy),50.2,33.900000000000006,15.9,4.4,3.177,66.8,0.0,0.8999999999999999,15.0,50.2,33.900000000000006
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",0.25,3,L3 (5x7 Gy),55.2,25.3,19.5,4.21,3.021,57.3,0.0,0.7000000000000001,18.8,55.2,25.3
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",0.5,3,L3 (5x7 Gy),55.7,15.1,29.2,3.556,2.616,30.2,0.0,1.2,28.000000000000004,55.7,15.1
Acute middle,attribution,"Non-binary DLT (n full, y scaled)",1.0,3,L3 (5x7 Gy),41.3,3.3000000000000003,55.400000000000006,2.965,2.056,5.9,0.0,3.8,51.6,41.3,3.3000000000000003
Acute middle,weight,Block discount (n and y scaled),0.0,3,L3 (5x7 Gy),46.400000000000006,30.8,22.8,4.098,3.036,64.3,0.0,1.3,21.5,46.400000000000006,30.8
Acute middle,weight,Block discount (n and y scaled),0.05,3,L3 (5x7 Gy),46.5,30.8,22.7,4.097,2.989,63.0,0.0,2.5,20.200000000000003,46.5,30.8
Acute middle,weight,Block discount (n and y scaled),0.1,3,L3 (5x7 Gy),42.2,28.8,29.0,4.043,2.905,56.49999999999999,0.0,2.2,26.8,42.2,28.8
Acute middle,weight,Block discount (n and y scaled),0.25,3,L3 (5x7 Gy),48.1,22.4,29.5,3.601,2.648,43.3,0.0,2.0,27.500000000000004,48.1,22.4
Acute middle,weight,Block discount (n and y scaled),0.5,3,L3 (5x7 Gy),47.1,13.1,39.8,3.297,2.305,23.7,0.0,2.8000000000000003,37.0,47.1,13.1
Acute middle,weight,Block discount (n and y scaled),1.0,3,L3 (5x7 Gy),41.5,3.0,55.50000000000001,2.894,1.984,5.7,0.0,3.6,51.9,41.5,3.0
