scenario,option,option_label,design,true_mtd,true_mtd_label,correct_pct,too_high_pct,too_low_pct,mean_acute_tox,mean_subacute_tox,ever_reached_top_pct,sel_L0_pct,sel_L1_pct,sel_L2_pct,sel_L3_pct,sel_L4_pct
Acute low,A,DLT telt volledig mee (huidige situatie),TITE-CRM,4,L4 (5x8 Gy),19.6,0.0,80.4,1.79,2.345,23.400000000000002,0.0,0.1,18.7,61.6,19.6
Acute low,B,Downweging historie naar 50%,TITE-CRM,4,L4 (5x8 Gy),43.1,0.0,56.89999999999999,2.193,2.774,51.5,0.0,0.2,10.2,46.5,43.1
Acute low,C,Downweging historie naar 25%,TITE-CRM,4,L4 (5x8 Gy),57.49999999999999,0.0,42.5,2.455,3.051,68.2,0.0,0.1,7.000000000000001,35.4,57.49999999999999
Acute low,E,Escalatie-override na 3 schone patiënten,TITE-CRM,4,L4 (5x8 Gy),23.799999999999997,0.0,76.2,2.02,2.542,41.5,0.0,0.4,21.0,54.800000000000004,23.799999999999997
Acute low,E+B,Override 3 + downweging 50%,TITE-CRM,4,L4 (5x8 Gy),46.400000000000006,0.0,53.6,2.232,2.762,60.3,0.0,0.2,11.799999999999999,41.6,46.400000000000006
Acute low,E+C,Override 3 + downweging 25%,TITE-CRM,4,L4 (5x8 Gy),61.1,0.0,38.9,2.472,3.293,75.5,0.0,0.0,8.1,30.8,61.1
Acute low,H,DLT telt niet mee (geadjudiceerd unrelated),TITE-CRM,4,L4 (5x8 Gy),78.7,0.0,21.3,2.913,3.77,89.3,0.0,0.0,1.6,19.7,78.7
Acute low,6+3,Huidig 6+3 design,6+3,4,L4 (5x8 Gy),2.8000000000000003,0.0,97.2,1.928,2.544,,0.0,14.6,37.8,44.800000000000004,2.8000000000000003
Acute middle,A,DLT telt volledig mee (huidige situatie),TITE-CRM,3,L3 (5x7 Gy),41.199999999999996,4.3,54.50000000000001,2.894,2.12,7.8,0.0,3.4000000000000004,51.1,41.199999999999996,4.3
Acute middle,B,Downweging historie naar 50%,TITE-CRM,3,L3 (5x7 Gy),46.5,12.4,41.099999999999994,3.334,2.313,23.400000000000002,0.0,3.5999999999999996,37.5,46.5,12.4
Acute middle,C,Downweging historie naar 25%,TITE-CRM,3,L3 (5x7 Gy),45.300000000000004,22.3,32.4,3.699,2.652,43.0,0.0,2.5,29.9,45.300000000000004,22.3
Acute middle,E,Escalatie-override na 3 schone patiënten,TITE-CRM,3,L3 (5x7 Gy),43.9,4.3999999999999995,51.7,3.104,2.176,19.900000000000002,0.0,3.2,48.5,43.9,4.3999999999999995
Acute middle,E+B,Override 3 + downweging 50%,TITE-CRM,3,L3 (5x7 Gy),46.6,13.8,39.6,3.404,2.439,31.6,0.0,3.1,36.5,46.6,13.8
Acute middle,E+C,Override 3 + downweging 25%,TITE-CRM,3,L3 (5x7 Gy),44.6,20.9,34.5,3.812,2.647,48.199999999999996,0.0,2.5,32.0,44.6,20.9
Acute middle,H,DLT telt niet mee (geadjudiceerd unrelated),TITE-CRM,3,L3 (5x7 Gy),48.3,35.9,15.8,4.593,3.177,70.19999999999999,0.0,0.7000000000000001,15.1,48.3,35.9
