scenario,ewoc,burn_in,simulation,true_mtd,closest_target_dose,selected_mtd,selected_without_final_ewoc,ewoc_final_downshift,additional_duration_weeks,total_duration_weeks,stopped_early,n_total,n_new,n_acute_tox,n_subacute_tox,any_acute_tox,any_subacute_tox,n_above_true_mtd,pct_above_true_mtd,n_L0,n_L1,n_L2,n_L3,n_L4,n_new_L0,n_new_L1,n_new_L2,n_new_L3,n_new_L4
Subacute reference,EWOC during + final,True,1,3,3,3,3,0,96.0,120.0,False,30,24,2,1,True,True,0,0.0,0,6,4,20,0,0,0,4,20,0
Subacute reference,EWOC during + final,True,2,3,3,2,2,0,96.0,120.0,False,30,24,4,2,True,True,0,0.0,0,12,18,0,0,0,6,18,0,0
Subacute reference,EWOC during + final,True,3,3,3,2,2,0,96.0,120.0,False,30,24,3,0,True,False,0,0.0,0,6,24,0,0,0,0,24,0,0
Subacute reference,EWOC during + final,True,4,3,3,2,4,1,96.0,120.0,False,30,24,2,7,True,True,5,16.666666666666668,0,6,10,9,5,0,0,10,9,5
Subacute reference,EWOC during + final,True,5,3,3,3,3,0,96.0,120.0,False,30,24,2,4,True,True,0,0.0,0,6,21,3,0,0,0,21,3,0
Subacute reference,EWOC during + final,True,6,3,3,2,2,0,96.0,120.0,False,30,24,4,1,True,True,0,0.0,0,6,24,0,0,0,0,24,0,0
Subacute reference,EWOC during + final,True,7,3,3,3,3,0,96.0,120.0,False,30,24,2,0,True,False,0,0.0,0,6,12,12,0,0,0,12,12,0
Subacute reference,EWOC during + final,True,8,3,3,3,3,0,96.0,120.0,False,30,24,4,3,True,True,8,26.666666666666668,0,6,5,11,8,0,0,5,11,8
Subacute reference,EWOC during + final,True,9,3,3,1,2,1,96.0,120.0,False,30,24,6,2,True,True,0,0.0,0,12,18,0,0,0,6,18,0,0
Subacute reference,EWOC during + final,True,10,3,3,2,2,0,96.0,120.0,False,30,24,6,3,True,True,0,0.0,0,6,15,9,0,0,0,15,9,0
Subacute reference,EWOC during + final,True,11,3,3,2,3,1,96.0,120.0,False,30,24,3,3,True,True,0,0.0,0,6,18,6,0,0,0,18,6,0
