scenario,ewoc,burn_in,n_sim,true_mtd,true_mtd_label,closest_target_dose,closest_target_label,correct_mtd_pct,too_high_mtd_pct,too_low_mtd_pct,mean_selected_mtd,mean_acute_tox,mean_subacute_tox,pct_any_acute_tox,pct_any_subacute_tox,mean_n_total,mean_n_new,mean_patients_above_true_mtd,mean_pct_patients_above_true_mtd,mean_additional_duration_weeks,mean_total_duration_weeks,ewoc_final_downshift_pct,sel_L0_pct,true_t1_L0,true_t2_L0,sel_L1_pct,true_t1_L1,true_t2_L1,sel_L2_pct,true_t1_L2,true_t2_L2,sel_L3_pct,true_t1_L3,true_t2_L3,sel_L4_pct,true_t1_L4,true_t2_L4
Acute low,EWOC during + final,True,200,4,L4 (5x8 Gy),4,L4 (5x8 Gy),26.5,0.0,73.5,3.195,2.275,3.135,95.0,94.0,30.0,24.0,0.0,0.0,96.0,120.0,24.5,0.0,0.01,0.02,0.0,0.02,0.05,7.0,0.06,0.1,66.5,0.1,0.15,26.5,0.15,0.25
Acute low,EWOC during + final,False,200,4,L4 (5x8 Gy),4,L4 (5x8 Gy),32.0,0.0,68.0,3.24,2.575,3.28,94.5,95.5,30.0,24.0,0.0,0.0,96.0,120.0,31.5,0.0,0.01,0.02,0.0,0.02,0.05,8.0,0.06,0.1,60.0,0.1,0.15,32.0,0.15,0.25
Acute low,EWOC final only,True,200,4,L4 (5x8 Gy),4,L4 (5x8 Gy),30.5,0.0,69.5,3.275,2.725,3.54,97.5,94.5,30.0,24.0,0.0,0.0,96.0,120.0,48.0,0.0,0.01,0.02,0.0,0.02,0.05,3.0,0.06,0.1,66.5,0.1,0.15,30.5,0.15,0.25
Acute low,EWOC final only,False,200,4,L4 (5x8 Gy),4,L4 (5x8 Gy),37.0,0.0,63.0,3.335,2.85,3.79,97.5,99.0,30.0,24.0,0.0,0.0,96.0,120.0,47.0,0.0,0.01,0.02,0.0,0.02,0.05,3.5,0.06,0.1,59.5,0.1,0.15,37.0,0.15,0.25
Acute low,EWOC off,True,200,4,L4 (5x8 Gy),4,L4 (5x8 Gy),77.0,0.0,23.0,3.75,2.655,3.5,96.5,97.0,30.0,24.0,0.0,0.0,96.0,120.0,0.0,0.0,0.01,0.02,0.0,0.02,0.05,2.0,0.06,0.1,21.0,0.1,0.15,77.0,0.15,0.25
Acute low,EWOC off,False,200,4,L4 (5x8 Gy),4,L4 (5x8 Gy),76.0,0.0,24.0,3.73,2.86,3.905,96.0,97.5,30.0,24.0,0.0,0.0,96.0,120.0,0.0,0.0,0.01,0.02,0.0,0.02,0.05,3.0,0.06,0.1,21.0,0.1,0.15,76.0,0.15,0.25
Acute middle,EWOC during + final,True,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),54.50000000000001,9.5,36.0,2.705,3.56,2.37,99.5,92.5,30.0,24.0,2.745,9.15,96.0,120.0,23.0,1.5,0.01,0.02,0.0,0.04,0.05,34.5,0.12,0.1,54.5,0.17,0.15,9.5,0.27,0.25
Acute middle,EWOC during + final,False,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),67.5,8.5,24.0,2.825,3.73,2.555,99.5,93.5,30.0,24.0,3.9,13.0,96.0,120.0,30.0,1.0,0.01,0.02,0.0,0.04,0.05,23.0,0.12,0.1,67.5,0.17,0.15,8.5,0.27,0.25
Acute middle,EWOC final only,True,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),56.49999999999999,7.000000000000001,36.5,2.705,4.36,2.875,99.5,96.5,30.0,24.0,5.25,17.5,96.0,120.0,34.5,0.0,0.01,0.02,0.0,0.04,0.05,36.5,0.12,0.1,56.5,0.17,0.15,7.0,0.27,0.25
Acute middle,EWOC final only,False,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),65.5,8.0,26.5,2.815,4.395,3.325,100.0,93.0,30.0,24.0,8.37,27.9,96.0,120.0,45.5,0.0,0.01,0.02,0.0,0.04,0.05,26.5,0.12,0.1,65.5,0.17,0.15,8.0,0.27,0.25
Acute middle,EWOC off,True,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),47.0,30.5,22.5,3.075,4.28,3.0,100.0,95.0,30.0,24.0,5.855,19.516666666666666,96.0,120.0,0.0,0.0,0.01,0.02,0.5,0.04,0.05,22.0,0.12,0.1,47.0,0.17,0.15,30.5,0.27,0.25
Acute middle,EWOC off,False,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),44.0,40.0,16.0,3.235,4.555,3.315,100.0,96.0,30.0,24.0,8.775,29.25,96.0,120.0,0.0,0.0,0.01,0.02,0.5,0.04,0.05,15.5,0.12,0.1,44.0,0.17,0.15,40.0,0.27,0.25
Acute high,EWOC during + final,True,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),51.0,47.5,1.5,2.485,4.05,2.555,99.5,93.0,30.0,24.0,10.515,35.05,96.0,120.0,22.0,1.0,0.01,0.02,0.5,0.05,0.05,51.0,0.15,0.1,44.0,0.22,0.15,3.5,0.3,0.25
Acute high,EWOC during + final,False,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),53.5,46.5,0.0,2.49,4.615,2.5,99.5,92.5,30.0,24.0,11.52,38.4,96.0,120.0,28.499999999999996,0.0,0.01,0.02,0.0,0.05,0.05,53.5,0.15,0.1,44.0,0.22,0.15,2.5,0.3,0.25
Acute high,EWOC final only,True,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),48.0,51.0,1.0,2.51,4.8,2.705,100.0,92.5,30.0,24.0,13.195,43.98333333333334,96.0,120.0,33.5,0.5,0.01,0.02,0.5,0.05,0.05,48.0,0.15,0.1,49.5,0.22,0.15,1.5,0.3,0.25
Acute high,EWOC final only,False,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),46.0,53.0,1.0,2.54,5.315,2.97,100.0,97.0,30.0,24.0,15.42,51.4,96.0,120.0,29.5,0.5,0.01,0.02,0.5,0.05,0.05,46.0,0.15,0.1,50.5,0.22,0.15,2.5,0.3,0.25
Acute high,EWOC off,True,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),28.000000000000004,70.5,1.5,2.87,4.845,2.745,100.0,92.0,30.0,24.0,14.07,46.9,96.0,120.0,0.0,0.0,0.01,0.02,1.5,0.05,0.05,28.0,0.15,0.1,52.5,0.22,0.15,18.0,0.3,0.25
Acute high,EWOC off,False,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),32.5,65.5,2.0,2.82,5.34,3.115,100.0,96.0,30.0,24.0,15.825,52.75,96.0,120.0,0.0,0.0,0.01,0.02,2.0,0.05,0.05,32.5,0.15,0.1,47.0,0.22,0.15,18.5,0.3,0.25
Acute steep,EWOC during + final,True,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),37.5,62.5,0.0,2.655,3.94,2.49,100.0,90.0,30.0,24.0,12.59,41.96666666666666,96.0,120.0,25.5,0.0,0.01,0.02,0.0,0.02,0.05,37.5,0.08,0.1,59.5,0.24,0.15,3.0,0.34,0.25
Acute steep,EWOC during + final,False,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),40.0,60.0,0.0,2.625,4.33,2.715,100.0,95.0,30.0,24.0,14.25,47.5,96.0,120.0,32.5,0.0,0.01,0.02,0.0,0.02,0.05,40.0,0.08,0.1,57.5,0.24,0.15,2.5,0.34,0.25
Acute steep,EWOC final only,True,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),45.5,54.0,0.5,2.58,4.815,3.14,100.0,95.5,30.0,24.0,15.795,52.65,96.0,120.0,37.5,0.0,0.01,0.02,0.5,0.02,0.05,45.5,0.08,0.1,49.5,0.24,0.15,4.5,0.34,0.25
Acute steep,EWOC final only,False,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),49.5,49.0,1.5,2.505,5.59,3.32,100.0,94.5,30.0,24.0,17.985,59.95,96.0,120.0,43.0,0.0,0.01,0.02,1.5,0.02,0.05,49.5,0.08,0.1,46.0,0.24,0.15,3.0,0.34,0.25
Acute steep,EWOC off,True,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),21.5,78.0,0.5,2.935,4.81,2.84,100.0,95.0,30.0,24.0,15.285,50.95,96.0,120.0,0.0,0.0,0.01,0.02,0.5,0.02,0.05,21.5,0.08,0.1,62.0,0.24,0.15,16.0,0.34,0.25
Acute steep,EWOC off,False,200,2,L2 (5x6 Gy),3,L3 (5x7 Gy),26.5,73.5,0.0,2.885,5.335,2.99,100.0,93.0,30.0,24.0,16.755,55.85,96.0,120.0,0.0,0.0,0.01,0.02,0.0,0.02,0.05,26.5,0.08,0.1,58.5,0.24,0.15,15.0,0.34,0.25
Acute shallow,EWOC during + final,True,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),48.0,4.5,47.5,2.475,4.07,2.53,100.0,90.5,30.0,24.0,2.085,6.95,96.0,120.0,24.5,4.5,0.1,0.02,0.5,0.13,0.05,42.5,0.15,0.1,48.0,0.18,0.15,4.5,0.24,0.25
Acute shallow,EWOC during + final,False,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),48.5,7.000000000000001,44.5,2.545,4.205,2.53,99.5,90.0,30.0,24.0,2.895,9.65,96.0,120.0,34.0,4.0,0.1,0.02,0.0,0.13,0.05,40.5,0.15,0.1,48.5,0.18,0.15,7.0,0.24,0.25
Acute shallow,EWOC final only,True,200,3,L3 (5x7 Gy),3,L3 (5x7 Gy),44.0,10.0,46.0,2.64,4.34,2.75,99.5,92.5,30.0,24.0,4.67,15.566666666666668,96.0,120.0,38.0,0.0,0.1,0.02,0.0,0.13,0.05,46.0,0.15,0.1,44.0,0.18,0.15,10.0,0.24,0.25
