step,history,cohort_dose,cohort_dlts,pm_L0,pm_L1,pm_L2,pm_L3,pm_L4,next_argmin,next_highest_below,next_argmin_label,next_highest_below_label
0,"9 pts at L1, 1 DLT",,,0.028976363064781973,0.06993464447126124,0.1376931198743878,0.2342702863767514,0.34933121213134566,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,0,0.017221478096986983,0.04773574832018083,0.1041537145924325,0.1916049991698723,0.302527725471502,3,3,L3 (5x7 Gy),L3 (5x7 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,0,0.00915781828959066,0.02980099992916717,0.0734494212005651,0.14853396662576177,0.2516688139360415,3,3,L3 (5x7 Gy),L3 (5x7 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,1,0.021828608299039966,0.0596904035958295,0.12687744844087784,0.2259710432512216,0.3453254153859973,3,2,L3 (5x7 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,2,0.03969357274062853,0.09468707683213247,0.18024140179611137,0.2933661148988836,0.4181019633700266,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L3,L3,3,0.0628933005565191,0.134072403293512,0.23371174553412602,0.35477918225551547,0.47971149248937545,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,1,0.04389012754227048,0.10065476199258391,0.18701004099762322,0.2998370055906583,0.4235452366130275,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,0,0.02941792590676061,0.07540863004500423,0.151888760977523,0.2586291079263217,0.38148358960726203,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,1,0.053828172672322996,0.11969544749240954,0.21524588014526452,0.334507564567611,0.4600706595951103,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,2,0.08395100487612973,0.16696574468666883,0.27543408150613397,0.40011128964401566,0.5232830055656753,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,3,0.11931362128209035,0.21651834546048768,0.33325619858379346,0.45897571483730054,0.5771800924646577,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,2,0.07877672796798987,0.15739449825492366,0.26198534876066254,0.38447177310994146,0.5075558036212418,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,0,0.05981283753955381,0.129422355738854,0.2279504756319157,0.3486212476289123,0.47385751624741257,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,1,0.09895144233157985,0.18878266916479813,0.3015886856556102,0.4272778208721439,0.5485186570228815,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,2,0.14293676172644285,0.24756454337161649,0.367729880858761,0.4927384516024923,0.6072170989988815,1,0,L1 (5x5 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,3,0.19106273258812734,0.3059495119678821,0.42878641062109063,0.5498644920430775,0.6563723379209531,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,3,0.12105084970041707,0.21706952886406597,0.3323982433253495,0.4570160538432884,0.5746961585067705,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,0,0.09156987492264745,0.1780089415907145,0.2886364897270956,0.4137940051426079,0.535971584576491,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,1,0.13570859867715093,0.2381622850756833,0.3573731651374315,0.4826590268453992,0.5982919380366059,1,0,L1 (5x5 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,2,0.18412063127527106,0.2976876330704246,0.42027379689644145,0.5419916637505208,0.6496561271616744,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,3,0.23601489226013309,0.35651741249918245,0.47879519672722454,0.594720014791511,0.6938041729640831,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
