step,history,cohort_dose,cohort_dlts,pm_L0,pm_L1,pm_L2,pm_L3,pm_L4,next_argmin,next_highest_below,next_argmin_label,next_highest_below_label
0,"9 pts at L1, 1 DLT",,,0.053866536651020605,0.11538455608900887,0.20484794338417617,0.31843387978893406,0.4407858714837806,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,0,0.03338104413224347,0.08149850801982862,0.15925373036032822,0.26605743165139817,0.38800233992941696,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L2,L2,0,0.022353483902237296,0.06099708465157074,0.1292247686415815,0.22930883340312885,0.3492457889305742,3,2,L3 (5x7 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L2,L2,1,0.04417974608857832,0.10320280997896589,0.19280080372224956,0.30872531248489266,0.43423066889803347,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L2,L2,2,0.07177873924665555,0.1486943098127399,0.25298277826385995,0.3763322956348201,0.5008678408759792,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (0 DLT) + 3@L2,L2,3,0.10469633210596982,0.19675990060716736,0.3108343428642206,0.43664191864027563,0.5570605430501397,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,1,0.06467645371408509,0.1357412994866592,0.23471686425333613,0.3549050616008595,0.4791241675205562,2,1,L2 (5x6 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,0,0.04417974608857832,0.10320280997896589,0.19280080372224956,0.30872531248489266,0.43423066889803347,2,2,L2 (5x6 Gy),L2 (5x6 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,1,0.07177873924665555,0.1486943098127399,0.25298277826385995,0.3763322956348201,0.5008678408759792,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,2,0.10469633210596982,0.19675990060716736,0.3108343428642206,0.43664191864027563,0.5570605430501397,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (1 DLT) + 3@L2,L2,3,0.14258102126605832,0.24683205860568178,0.36671741262661794,0.49160963096763827,0.6061290417500595,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,2,0.1035174081549689,0.1933616258297514,0.3053696664738333,0.42992778649992913,0.5501476122662703,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,0,0.07871172491326144,0.15916611464273492,0.2658958551429115,0.3900370541775495,0.5138012688894973,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,1,0.12038718293763846,0.21823813398965225,0.3354224344593291,0.4612881246605283,0.5793608467932072,1,0,L1 (5x5 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,2,0.16652947679749153,0.2768069985672001,0.39879523837894054,0.5221492289838165,0.6327408913028609,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (2 DLT) + 3@L1,L1,3,0.21642374126405858,0.3349342637990133,0.45777823150668434,0.5760875677621132,0.6783864636439666,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
1,9@L1 (1 DLT) + 3@L2,L2,3,0.1492063671864833,0.2535319916541857,0.3726216246792808,0.49631414626655795,0.6096447873699197,1,1,L1 (5x5 Gy),L1 (5x5 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,0,0.11306492690345442,0.2081860983385166,0.3238886466139673,0.4497061696574597,0.5688670646085972,1,0,L1 (5x5 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,1,0.15942514299916594,0.2679915825808673,0.38942467401021547,0.513274861940567,0.6250380870704272,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,2,0.20968150254794746,0.3272093367159669,0.4500384403031765,0.5690787541359409,0.6724979353798847,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
2,9@L1 (1 DLT) + 3@L2 (3 DLT) + 3@L1,L1,3,0.26306753946100514,0.38561275397704825,0.5066370815706682,0.6190849517116354,0.7137788895899655,0,0,L0 (5x4 Gy),L0 (5x4 Gy)
